(야간)선물옵션 주문가능 조회,,,,,,
API 통신방식,REST,,,,,
메뉴 위치,[국내선물옵션] 주문/계좌,,,,,
API 명,(야간)선물옵션 주문가능 조회,,,,,
API ID,국내선물-011,,,,,
실전 TR_ID,(구) JTCE1004R (신) STTN5105R,,,,,
모의 TR_ID,모의투자 미지원,,,,,
기본정보,,,,,,
HTTP Method,GET,,,,,
실전 Domain,https://openapi.koreainvestment.com:9443,,,,,
모의 Domain,모의투자 미지원,,,,,
URL 명,/uapi/domestic-futureoption/v1/trading/inquire-psbl-ngt-order,,,,,
개요,,,,,,
개요,(야간)선물옵션 주문가능 조회 API입니다.,,,,,
Layout,,,,,,
구분,Element,한글명,Type,Required,Length,Description
Request Header,content-type,컨텐츠타입,string,Y,40,application/json; charset=utf-8
,authorization,접근토큰,string,Y,350,"OAuth 토큰이 필요한 API 경우 발급한 Access token 
일반고객(Access token 유효기간 1일, OAuth 2.0의 Client Credentials Grant 절차를 준용) 
법인(Access token 유효기간 3개월, Refresh token 유효기간 1년, OAuth 2.0의 Authorization Code Grant 절차를 준용)"
,appkey,앱키,string,Y,36,한국투자증권 홈페이지에서 발급받은 appkey (절대 노출되지 않도록 주의해주세요.)
,appsecret,앱시크릿키,string,Y,180,한국투자증권 홈페이지에서 발급받은 appkey (절대 노출되지 않도록 주의해주세요.)
,personalseckey,고객식별키,string,N,180,[법인 필수] 제휴사 회원 관리를 위한 고객식별키
,tr_id,거래ID,string,Y,13,(구) JTCE1004R (신) STTN5105R
,tr_cont,연속 거래 여부,string,N,1,"공백 : 초기 조회
N : 다음 데이터 조회 (output header의 tr_cont가 M일 경우)"
,custtype,고객 타입,string,Y,1,"B : 법인 
P : 개인"
,seq_no,일련번호,string,N,2,[법인 필수] 001
,mac_address,맥주소,string,N,12,법인고객 혹은 개인고객의 Mac address 값
,phone_number,핸드폰번호,string,N,12,"[법인 필수] 제휴사APP을 사용하는 경우 사용자(회원) 핸드폰번호 
ex) 01011112222 (하이픈 등 구분값 제거)"
,ip_addr,접속 단말 공인 IP,string,N,12,[법인 필수] 사용자(회원)의 IP Address
,gt_uid,Global UID,string,N,32,[법인 전용] 거래고유번호로 사용하므로 거래별로 UNIQUE해야 함
Request Query Parameter,CANO,종합계좌번호,string,Y,8, 
,ACNT_PRDT_CD,계좌상품코드,string,Y,2, 
,PDNO,상품번호,string,Y,12, 
,PRDT_TYPE_CD,상품유형코드,string,Y,3,301 : 선물옵션 
,SLL_BUY_DVSN_CD,매도매수구분코드,string,Y,2,"01 : 매도 , 02 : 매수"
,UNIT_PRICE,주문가격1,string,Y,23, 
,ORD_DVSN_CD,주문구분코드,string,Y,2,"'01 : 지정가        02 : 시장가 
03 : 조건부        04 : 최유리, 
10 : 지정가(IOC) 11 : 지정가(FOK) 
12 : 시장가(IOC) 13 : 시장가(FOK) 
14 : 최유리(IOC) 15 : 최유리(FOK)'"
Response Header,content-type,컨텐츠타입,string,Y,40,application/json; charset=utf-8
,tr_id,거래ID,string,Y,13,요청한 tr_id
,tr_cont,연속 거래 여부,string,N,1,"F or M : 다음 데이터 있음
D or E : 마지막 데이터"
,gt_uid,Global UID,string,N,32,[법인 전용] 거래고유번호로 사용하므로 거래별로 UNIQUE해야 함
Response Body,rt_cd,성공 실패 여부,string,Y,1, 
,msg_cd,응답코드,string,Y,8, 
,msg1,응답메세지,string,Y,80, 
,output,응답상세1,object,Y, , 
,max_ord_psbl_qty,최대주문가능수량,string,Y,19,최대주문가능수량 (신규 TR 미사용 필드)
,tot_psbl_qty,최대주문가능수량,string,Y,19,
,lqd_psbl_qty,청산가능수량,string,Y,19,청산가능수량
,lqd_psbl_qty_1,청산가능수량,string,Y,19,신규 TR 사용 필드
,ord_psbl_qty,주문가능수량,string,Y,19,
,bass_idx,기준지수,string,Y,23,신규 TR 사용 필드
Example,,,,,,
Request Example (Python),"{
	""CANO"":""80012345"",
	""ACNT_PRDT_CD"":""03"",
	""PDNO"":""101T03"",
	""PRDT_TYPE_CD"":""301"",
	""SLL_BUY_DVSN_CD"":""02"",
	""UNIT_PRICE"":"""",
	""ORD_DVSN_CD"":""01""
}",,,,,
Response Example,"{
    ""output"": {
        ""max_ord_psbl_qty"": ""996"",
        ""lqd_psbl_qty"": ""0"",
        ""ord_psbl_qty"": ""996""
    },
    ""rt_cd"": ""0"",
    ""msg_cd"": ""KIOK0510"",
    ""msg1"": ""조회가 완료되었습니다                                                           ""
}",,,,,
