KRX야간선물 실시간체결통보,,,,,,
API 통신방식,WEBSOCKET,,,,,
메뉴 위치,[국내선물옵션] 실시간시세,,,,,
API 명,KRX야간선물 실시간체결통보,,,,,
API ID,실시간-066,,,,,
실전 TR_ID,H0MFCNI0,,,,,
모의 TR_ID,모의투자 미지원,,,,,
기본정보,,,,,,
HTTP Method,POST,,,,,
실전 Domain,ws://ops.koreainvestment.com:21000,,,,,
모의 Domain,모의투자 미지원,,,,,
URL 명,/tryitout/H0MFCNI0,,,,,
개요,,,,,,
개요,"[참고자료]

실시간시세(웹소켓) 파이썬 샘플코드는 한국투자증권 Github 참고 부탁드립니다.
https://github.com/koreainvestment/open-trading-api/blob/main/websocket/python/ws_domestic_overseas_all.py

실시간시세(웹소켓) API 사용방법에 대한 자세한 설명은 한국투자증권 Wikidocs 참고 부탁드립니다.
https://wikidocs.net/book/7847 (국내주식 업데이트 완료, 추후 해외주식·국내선물옵션 업데이트 예정)

종목코드 마스터파일 파이썬 정제코드는 한국투자증권 Github 참고 부탁드립니다.
https://github.com/koreainvestment/open-trading-api/tree/main/stocks_info",,,,,
Layout,,,,,,
구분,Element,한글명,Type,Required,Length,Description
Request Header,approval_key,웹소켓 접속키,string,Y,36,실시간 (웹소켓) 접속키 발급 API(/oauth2/Approval)를 사용하여 발급받은 웹소켓 접속키
,custtype,고객 타입,string,Y,1,B : 법인 / P : 개인
,tr_type,등록/해제,string,Y,1,"1: 등록, 2:해제"
,content-type,컨텐츠타입,string,Y,20,utf-8
Request Body,tr_id,거래ID,string,Y,2,H0MFCNI0
,tr_key,구분값,string,Y,12,HTS ID
Response Header,,,,,,
Response Body,CUST_ID,고객 ID,string,Y,8, 
,ACNT_NO,계좌번호,string,Y,10, 
,ODER_NO,주문번호,string,Y,10, 
,OODER_NO,원주문번호,string,Y,10, 
,SELN_BYOV_CLS,매도매수구분,string,Y,2, 
,RCTF_CLS,정정구분,string,Y,1, 
,ODER_KIND2,주문종류2,string,Y,1, 
,STCK_SHRN_ISCD,주식 단축 종목코드,string,Y,9, 
,CNTG_QTY,체결 수량,string,Y,10, 
,CNTG_UNPR,체결단가,string,Y,9, 
,STCK_CNTG_HOUR,주식 체결 시간,string,Y,6, 
,RFUS_YN,거부여부,string,Y,1, 
,CNTG_YN,체결여부,string,Y,1, 
,ACPT_YN,접수여부,string,Y,1, 
,BRNC_NO,지점번호,string,Y,5, 
,ODER_QTY,주문수량,string,Y,9, 
,ACNT_NAME,계좌명,string,Y,12, 
,CNTG_ISNM,체결종목명,string,Y,14, 
,ODER_COND,주문조건,string,Y,1, 
Example,,,,,,
Request Example (Python),,,,,,
Response Example,,,,,,
