주식주문(정정취소),,,,,,
API 통신방식,REST,,,,,
메뉴 위치,[국내주식] 주문/계좌,,,,,
API 명,주식주문(정정취소),,,,,
API ID,v1_국내주식-003,,,,,
실전 TR_ID,TTTC0013U,,,,,
모의 TR_ID,VTTC0013U,,,,,
기본정보,,,,,,
HTTP Method,POST,,,,,
실전 Domain,https://openapi.koreainvestment.com:9443,,,,,
모의 Domain,https://openapivts.koreainvestment.com:29443,,,,,
URL 명,/uapi/domestic-stock/v1/trading/order-rvsecncl,,,,,
개요,,,,,,
개요,"주문 건에 대하여 정정 및 취소하는 API입니다. 단, 이미 체결된 건은 정정 및 취소가 불가합니다.

※ 정정은 원주문에 대한 주문단가 혹은 주문구분을 변경하는 사항으로, 정정이 가능한 수량은 원주문수량을 초과 할 수 없습니다.

※ 주식주문(정정취소) 호출 전에 반드시 주식정정취소가능주문조회 호출을 통해 정정취소가능수량(output &gt; psbl_qty)을 확인하신 후 정정취소주문 내시기 바랍니다.

※ POST API의 경우 BODY값의 key값들을 대문자로 작성하셔야 합니다.
   (EX. ""CANO"" : ""12345678"", ""ACNT_PRDT_CD"": ""01"",...)",,,,,
Layout,,,,,,
구분,Element,한글명,Type,Required,Length,Description
Request Header,content-type,컨텐츠타입,string,Y,40,application/json; charset=utf-8
,authorization,접근토큰,string,Y,350,"OAuth 토큰이 필요한 API 경우 발급한 Access token 
일반고객(Access token 유효기간 1일, OAuth 2.0의 Client Credentials Grant 절차를 준용) 
법인(Access token 유효기간 3개월, Refresh token 유효기간 1년, OAuth 2.0의 Authorization Code Grant 절차를 준용)

※ 토큰 지정시 토큰 타입(""Bearer"") 지정 필요. 즉, 발급받은 접근토큰 앞에 앞에 ""Bearer"" 붙여서 호출
EX) ""Bearer eyJ..........8GA"""
,appkey,앱키,string,Y,36,한국투자증권 홈페이지에서 발급받은 appkey (절대 노출되지 않도록 주의해주세요.)
,appsecret,앱시크릿키,string,Y,180,한국투자증권 홈페이지에서 발급받은 appkey (절대 노출되지 않도록 주의해주세요.)
,personalseckey,고객식별키,string,N,180,[법인 필수] 제휴사 회원 관리를 위한 고객식별키
,tr_id,거래ID,string,Y,13,"※ 구TR은 사전고지 없이 막힐 수 있으므로 반드시 신TR로 변경이용 부탁드립니다.
[실전투자]
정정/취소 (구)TTTC0803U → (신)TTTC0013U
정정/취소 (모의투자) (구)VTTC0803U → (신)VTTC0013U"
,tr_cont,연속 거래 여부,string,N,1,tr_cont를 이용한 다음조회 불가 API
,custtype,고객 타입,string,Y,1,"B : 법인 
P : 개인"
,seq_no,일련번호,string,N,2,[법인 필수] 001
,mac_address,맥주소,string,N,12,법인고객 혹은 개인고객의 Mac address 값
,phone_number,핸드폰번호,string,N,12,"[법인 필수] 제휴사APP을 사용하는 경우 사용자(회원) 핸드폰번호 
ex) 01011112222 (하이픈 등 구분값 제거)"
,ip_addr,접속 단말 공인 IP,string,N,12,[법인 필수] 사용자(회원)의 IP Address
,gt_uid,Global UID,string,N,32,[법인 전용] 거래고유번호로 사용하므로 거래별로 UNIQUE해야 함
Request Body,CANO,종합계좌번호,string,Y,8,종합계좌번호
,ACNT_PRDT_CD,계좌상품코드,string,Y,2,상품유형코드
,KRX_FWDG_ORD_ORGNO,한국거래소전송주문조직번호,string,Y,5, 
,ORGN_ODNO,원주문번호,string,Y,10,원주문번호
,ORD_DVSN,주문구분,string,Y,2,"[KRX]
00 : 지정가
01 : 시장가
02 : 조건부지정가
03 : 최유리지정가
04 : 최우선지정가
05 : 장전 시간외
06 : 장후 시간외
07 : 시간외 단일가
11 : IOC지정가 (즉시체결,잔량취소)
12 : FOK지정가 (즉시체결,전량취소)
13 : IOC시장가 (즉시체결,잔량취소)
14 : FOK시장가 (즉시체결,전량취소)
15 : IOC최유리 (즉시체결,잔량취소)
16 : FOK최유리 (즉시체결,전량취소)
21 : 중간가
22 : 스톱지정가
23 : 중간가IOC
24 : 중간가FOK

[NXT]
00 : 지정가
03 : 최유리지정가
04 : 최우선지정가
11 : IOC지정가 (즉시체결,잔량취소)
12 : FOK지정가 (즉시체결,전량취소)
13 : IOC시장가 (즉시체결,잔량취소)
14 : FOK시장가 (즉시체결,전량취소)
15 : IOC최유리 (즉시체결,잔량취소)
16 : FOK최유리 (즉시체결,전량취소)
21 : 중간가
22 : 스톱지정가
23 : 중간가IOC
24 : 중간가FOK

[SOR]
00 : 지정가
01 : 시장가
03 : 최유리지정가
04 : 최우선지정가
11 : IOC지정가 (즉시체결,잔량취소)
12 : FOK지정가 (즉시체결,전량취소)
13 : IOC시장가 (즉시체결,잔량취소)
14 : FOK시장가 (즉시체결,전량취소)
15 : IOC최유리 (즉시체결,잔량취소)
16 : FOK최유리 (즉시체결,전량취소)"
,RVSE_CNCL_DVSN_CD,정정취소구분코드,string,Y,2,"01@정정
02@취소"
,ORD_QTY,주문수량,string,Y,10,주문수량
,ORD_UNPR,주문단가,string,Y,19,주문단가
,QTY_ALL_ORD_YN,잔량전부주문여부,string,Y,1,"'Y@전량
N@일부'"
,CNDT_PRIC,조건가격,string,N,19,스탑지정가호가에서 사용
,EXCG_ID_DVSN_CD,거래소ID구분코드,string,N,3,"한국거래소 : KRX
대체거래소 (넥스트레이드) : NXT
SOR (Smart Order Routing) : SOR
→ 미입력시 KRX로 진행되며, 모의투자는 KRX만 가능"
Response Header,content-type,컨텐츠타입,string,Y,40,application/json; charset=utf-8
Response Body,rt_cd,성공 실패 여부,string,Y,1, 
,msg_cd,응답코드,string,Y,8, 
,msg1,응답메세지,string,Y,80, 
,output,응답상세,object array,Y, ,single
,krx_fwdg_ord_orgno,한국거래소전송주문조직번호,string,Y,5, 
,odno,주문번호,string,Y,10, 
,ord_tmd,주문시각,string,Y,6, 
Example,,,,,,
Request Example (Python),"{
""CANO"": ""810XXXXX"",
""ACNT_PRDT_CD"": ""01"",
""KRX_FWDG_ORD_ORGNO"": """",
""ORGN_ODNO"": ""0001566017"",
""ORD_DVSN"": ""00"",
""RVSE_CNCL_DVSN_CD"": ""01"",
""ORD_QTY"": ""1"",
""ORD_UNPR"": ""180000"",
""QTY_ALL_ORD_YN"": ""N""
}",,,,,
Response Example,"{
  ""rt_cd"": ""0"",
  ""msg_cd"": ""APBK0013"",
  ""msg1"": ""주문 전송 완료 되었습니다."",
  ""output"": {
    ""KRX_FWDG_ORD_ORGNO"": ""06010"",
    ""ODNO"": ""0001569139"",
    ""ORD_TMD"": ""131438""
  }
}",,,,,
