해외주식 기간별권리조회,,,,,,
API 통신방식,REST,,,,,
메뉴 위치,[해외주식] 시세분석,,,,,
API 명,해외주식 기간별권리조회,,,,,
API ID,해외주식-052,,,,,
실전 TR_ID,CTRGT011R,,,,,
모의 TR_ID,모의투자 미지원,,,,,
기본정보,,,,,,
HTTP Method,GET,,,,,
실전 Domain,https://openapi.koreainvestment.com:9443,,,,,
모의 Domain,모의투자 미지원,,,,,
URL 명,/uapi/overseas-price/v1/quotations/period-rights,,,,,
개요,,,,,,
개요,"해외주식 기간별권리조회 API입니다.
한국투자 HTS(eFriend Plus) &gt; [7520] 기간별해외증권권리조회 화면을 API로 개발한 사항으로, 해당 화면을 참고하시면 기능을 이해하기 쉽습니다.

※ 확정여부가 '예정'으로 표시되는 경우는 권리정보가 변경될 수 있으니 참고자료로만 활용하시기 바랍니다.",,,,,
Layout,,,,,,
구분,Element,한글명,Type,Required,Length,Description
Request Header,content-type,컨텐츠타입,string,Y,40,application/json; charset=utf-8
,authorization,접근토큰,string,Y,350,"OAuth 토큰이 필요한 API 경우 발급한 Access token 
일반고객(Access token 유효기간 1일, OAuth 2.0의 Client Credentials Grant 절차를 준용) 
법인(Access token 유효기간 3개월, Refresh token 유효기간 1년, OAuth 2.0의 Authorization Code Grant 절차를 준용)"
,appkey,앱키,string,Y,36,한국투자증권 홈페이지에서 발급받은 appkey (절대 노출되지 않도록 주의해주세요.)
,appsecret,앱시크릿키,string,Y,180,한국투자증권 홈페이지에서 발급받은 appkey (절대 노출되지 않도록 주의해주세요.)
,personalseckey,고객식별키,string,N,180,[법인 필수] 제휴사 회원 관리를 위한 고객식별키
,tr_id,거래ID,string,Y,13,CTRGT011R
,tr_cont,연속 거래 여부,string,N,1,tr_cont를 이용한 다음조회 불가 API
,custtype,고객 타입,string,Y,1,"B : 법인 
P : 개인"
,seq_no,일련번호,string,N,2,[법인 필수] 001
,mac_address,맥주소,string,N,12,법인고객 혹은 개인고객의 Mac address 값
,phone_number,핸드폰번호,string,N,12,"[법인 필수] 제휴사APP을 사용하는 경우 사용자(회원) 핸드폰번호 
ex) 01011112222 (하이픈 등 구분값 제거)"
,ip_addr,접속 단말 공인 IP,string,N,12,[법인 필수] 사용자(회원)의 IP Address
,gt_uid,Global UID,string,N,32,[법인 전용] 거래고유번호로 사용하므로 거래별로 UNIQUE해야 함
Request Query Parameter,RGHT_TYPE_CD,권리유형코드,string,Y,2,"'%%(전체), 01(유상), 02(무상), 03(배당), 11(합병), 
14(액면분할), 15(액면병합), 17(감자), 54(WR청구),
61(원리금상환), 71(WR소멸), 74(배당옵션), 75(특별배당), 76(ISINCODE변경), 77(실권주청약)'"
,INQR_DVSN_CD,조회구분코드,string,Y,2,"02(현지기준일), 03(청약시작일), 04(청약종료일)"
,INQR_STRT_DT,조회시작일자,string,Y,8,일자 ~
,INQR_END_DT,조회종료일자,string,Y,8,~ 일자
,PDNO,상품번호,string,Y,12,공백
,PRDT_TYPE_CD,상품유형코드,string,Y,3,공백
,CTX_AREA_NK50,연속조회키50,string,Y,50,공백
,CTX_AREA_FK50,연속조회검색조건50,string,Y,50,공백
Response Header,content-type,컨텐츠타입,string,Y,40,application/json; charset=utf-8
,tr_id,거래ID,string,Y,13,요청한 tr_id
,tr_cont,연속 거래 여부,string,N,1,tr_cont를 이용한 다음조회 불가 API
,gt_uid,Global UID,string,N,32,[법인 전용] 거래고유번호로 사용하므로 거래별로 UNIQUE해야 함
Response Body,rt_cd,성공 실패 여부,string,Y,1, 
,msg_cd,응답코드,string,Y,8, 
,msg1,응답메세지,string,Y,80, 
,output,응답상세,object array,Y, , array
,bass_dt,기준일자,string,Y,8, 
,rght_type_cd,권리유형코드,string,Y,2, 
,pdno,상품번호,string,Y,12, 
,prdt_name,상품명,string,Y,60, 
,prdt_type_cd,상품유형코드,string,Y,3, 
,std_pdno,표준상품번호,string,Y,12, 
,acpl_bass_dt,현지기준일자,string,Y,8, 
,sbsc_strt_dt,청약시작일자,string,Y,8, 
,sbsc_end_dt,청약종료일자,string,Y,8, 
,cash_alct_rt,현금배정비율,string,Y,191, 
,stck_alct_rt,주식배정비율,string,Y,2012, 
,crcy_cd,통화코드,string,Y,3, 
,crcy_cd2,통화코드2,string,Y,3, 
,crcy_cd3,통화코드3,string,Y,3, 
,crcy_cd4,통화코드4,string,Y,3, 
