해외주식 신고_신저가,,,,,,
API 통신방식,REST,,,,,
메뉴 위치,[해외주식] 시세분석,,,,,
API 명,해외주식 신고_신저가,,,,,
API ID,해외주식-042,,,,,
실전 TR_ID,HHDFS76300000,,,,,
모의 TR_ID,모의투자 미지원,,,,,
기본정보,,,,,,
HTTP Method,GET,,,,,
실전 Domain,https://openapi.koreainvestment.com:9443,,,,,
모의 Domain,미지원,,,,,
URL 명,/uapi/overseas-stock/v1/ranking/new-highlow,,,,,
개요,,,,,,
개요,,,,,,
Layout,,,,,,
구분,Element,한글명,Type,Required,Length,Description
Request Header,content-type,컨텐츠타입,string,Y,40,application/json; charset=utf-8
,authorization,접근토큰,string,Y,350,"OAuth 토큰이 필요한 API 경우 발급한 Access token 
일반고객(Access token 유효기간 1일, OAuth 2.0의 Client Credentials Grant 절차를 준용) 
법인(Access token 유효기간 3개월, Refresh token 유효기간 1년, OAuth 2.0의 Authorization Code Grant 절차를 준용)"
,appkey,앱키,string,Y,36,한국투자증권 홈페이지에서 발급받은 appkey (절대 노출되지 않도록 주의해주세요.)
,appsecret,앱시크릿키,string,Y,180,한국투자증권 홈페이지에서 발급받은 appkey (절대 노출되지 않도록 주의해주세요.)
,personalseckey,고객식별키,string,N,180,[법인 필수] 제휴사 회원 관리를 위한 고객식별키
,tr_id,거래ID,string,Y,13,HHDFS76300000
,tr_cont,연속 거래 여부,string,N,1,tr_cont를 이용한 다음조회 불가 API
,custtype,고객 타입,string,Y,1,"B : 법인 
P : 개인"
,seq_no,일련번호,string,N,2,[법인 필수] 001
,mac_address,맥주소,string,N,12,법인고객 혹은 개인고객의 Mac address 값
,phone_number,핸드폰번호,string,N,12,"[법인 필수] 제휴사APP을 사용하는 경우 사용자(회원) 핸드폰번호 
ex) 01011112222 (하이픈 등 구분값 제거)"
,ip_addr,접속 단말 공인 IP,string,N,12,[법인 필수] 사용자(회원)의 IP Address
,gt_uid,Global UID,string,N,32,[법인 전용] 거래고유번호로 사용하므로 거래별로 UNIQUE해야 함
Request Query Parameter,KEYB,NEXT KEY BUFF,string,Y,8,공백
,AUTH,사용자권한정보,string,Y,32,공백
,EXCD,거래소코드,string,Y,4,"'NYS : 뉴욕, NAS : 나스닥,  AMS : 아멕스 
HKS : 홍콩, SHS : 상해 , SZS : 심천
HSX : 호치민, HNX : 하노이
TSE : 도쿄 '"
,GUBN,신고/신저 구분,string,Y,1,신고(1) 신저(0)
,GUBN2,일시돌파/돌파 구분,string,Y,1,일시돌파(0) 돌파유지(1)
,NDAY,N일자값,string,Y,1,"N일전 : 0(5일), 1(10일), 2(20일), 3(30일), 4(60일), 5(120일전), 6(52주), 7(1년)"
,VOL_RANG,거래량조건,string,Y,1,"0(전체), 1(1백주이상), 2(1천주이상), 3(1만주이상), 4(10만주이상), 5(100만주이상), 6(1000만주이상)"
Response Header,content-type,컨텐츠타입,string,Y,40,application/json; charset=utf-8
,tr_id,거래ID,string,Y,13,요청한 tr_id
,tr_cont,연속 거래 여부,string,N,1,tr_cont를 이용한 다음조회 불가 API
,gt_uid,Global UID,string,N,32,[법인 전용] 거래고유번호로 사용하므로 거래별로 UNIQUE해야 함
Response Body,rt_cd,성공 실패 여부,string,Y,1, 
,msg_cd,응답코드,string,Y,8, 
,msg1,응답메세지,string,Y,80, 
,output1,응답상세,object,Y, , 
,zdiv,소수점자리수,string,Y,1, 
,stat,거래상태정보,string,Y,20, 
,nrec,RecordCount,string,Y,4, 
,output2,응답상세,object array,Y, ,array
,rsym,실시간조회심볼,string,Y,16, 
,excd,거래소코드,string,Y,4, 
,symb,종목코드,string,Y,1, 
,name,종목명,string,Y,48, 
,last,현재가,string,Y,16, 
,sign,기호,string,Y,1, 
,diff,대비,string,Y,12, 
,rate,등락율,string,Y,12, 
,tvol,거래량,string,Y,14, 
,pask,매도호가,string,Y,12, 
,pbid,매수호가,string,Y,12, 
,n_base,기준가,string,Y,12, 
,n_diff,기준가대비,string,Y,12, 
,n_rate,기준가대비율,string,Y,12, 
,ename,영문종목명,string,Y,48, 
,e_ordyn,매매가능,string,Y,2, 
Example,,,,,,
Request Example (Python),,,,,,
Response Example,,,,,,
