해외증거금 통화별조회,,,,,,
API 통신방식,REST,,,,,
메뉴 위치,[해외주식] 주문/계좌,,,,,
API 명,해외증거금 통화별조회,,,,,
API ID,해외주식-035,,,,,
실전 TR_ID,TTTC2101R,,,,,
모의 TR_ID,모의투자 미지원,,,,,
기본정보,,,,,,
HTTP Method,GET,,,,,
실전 Domain,https://openapi.koreainvestment.com:9443,,,,,
모의 Domain,모의투자 미지원,,,,,
URL 명,/uapi/overseas-stock/v1/trading/foreign-margin,,,,,
개요,,,,,,
개요,"해외증거금 통화별조회 API입니다.
한국투자 HTS(eFriend Plus) &gt; [7718] 해외주식 증거금상세 화면 의 기능을 API로 개발한 사항으로, 해당 화면을 참고하시면 기능을 이해하기 쉽습니다.",,,,,
Layout,,,,,,
구분,Element,한글명,Type,Required,Length,Description
Request Header,content-type,컨텐츠타입,string,Y,40,application/json; charset=utf-8
,authorization,접근토큰,string,Y,350,"OAuth 토큰이 필요한 API 경우 발급한 Access token 
일반고객(Access token 유효기간 1일, OAuth 2.0의 Client Credentials Grant 절차를 준용) 
법인(Access token 유효기간 3개월, Refresh token 유효기간 1년, OAuth 2.0의 Authorization Code Grant 절차를 준용)"
,appkey,앱키,string,Y,36,한국투자증권 홈페이지에서 발급받은 appkey (절대 노출되지 않도록 주의해주세요.)
,appsecret,앱시크릿키,string,Y,180,한국투자증권 홈페이지에서 발급받은 appkey (절대 노출되지 않도록 주의해주세요.)
,personalseckey,고객식별키,string,N,180,[법인 필수] 제휴사 회원 관리를 위한 고객식별키
,tr_id,거래ID,string,Y,13,TTTC2101R
,tr_cont,연속 거래 여부,string,N,1,"공백 : 초기 조회
N : 다음 데이터 조회 (output header의 tr_cont가 M일 경우)"
,custtype,고객 타입,string,Y,1,"B : 법인 
P : 개인"
,seq_no,일련번호,string,N,2,[법인 필수] 001
,mac_address,맥주소,string,N,12,법인고객 혹은 개인고객의 Mac address 값
